case_id,block,generation_order,instance_id,N,admission,compatibility,dag_density,outsource_multiplier,seed,instance_path,expected_sha256,actual_sha256,hash_match,data_files_complete,missing_or_mismatched_files,reused_existing_instance,generation_process
STR_011,main_factorial,11,stress_N0100_A050_C080_DH_O090_S20268011,100,0.5,0.8,H,0.9,20268011,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_011\instances\stress_N0100_A050_C080_DH_O090_S20268011,510eecc68732732b51362981b0fd626cee73bf26cf177a1a3b88f85a186a0347,510eecc68732732b51362981b0fd626cee73bf26cf177a1a3b88f85a186a0347,True,True,,True,reused
STR_012,main_factorial,12,stress_N0100_A050_C080_DH_O110_S20268012,100,0.5,0.8,H,1.1,20268012,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_012\instances\stress_N0100_A050_C080_DH_O110_S20268012,8f460455bed0af7bc63816c44a4a1cc339e7566546710559c9372d93cde58f33,8f460455bed0af7bc63816c44a4a1cc339e7566546710559c9372d93cde58f33,True,True,,True,reused
STR_013,main_factorial,13,stress_N0100_A080_C050_DL_O090_S20268013,100,0.8,0.5,L,0.9,20268013,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_013\instances\stress_N0100_A080_C050_DL_O090_S20268013,6cbc60b721fe1dc25f8e136437721de06ef1adc92f129d73d50ebb2bf82df85d,6cbc60b721fe1dc25f8e136437721de06ef1adc92f129d73d50ebb2bf82df85d,True,True,,True,reused
STR_014,main_factorial,14,stress_N0100_A080_C050_DL_O110_S20268014,100,0.8,0.5,L,1.1,20268014,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_014\instances\stress_N0100_A080_C050_DL_O110_S20268014,7f2faef0c4d88165d9127ed84eca1650193ab725b006c63eef6e14aaa52f6ef6,7f2faef0c4d88165d9127ed84eca1650193ab725b006c63eef6e14aaa52f6ef6,True,True,,True,reused
STR_015,main_factorial,15,stress_N0100_A080_C050_DM_O090_S20268015,100,0.8,0.5,M,0.9,20268015,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_015\instances\stress_N0100_A080_C050_DM_O090_S20268015,a2e76933bd04fcb1ab4867f1662d8af105dfaeabecd9dcc5ba1c918682512712,a2e76933bd04fcb1ab4867f1662d8af105dfaeabecd9dcc5ba1c918682512712,True,True,,True,reused
STR_016,main_factorial,16,stress_N0100_A080_C050_DM_O110_S20268016,100,0.8,0.5,M,1.1,20268016,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_016\instances\stress_N0100_A080_C050_DM_O110_S20268016,34739f8d887041c8aef474ec41e5f0cf7f4e731dd6924026c2a0bc8d6a0db2da,34739f8d887041c8aef474ec41e5f0cf7f4e731dd6924026c2a0bc8d6a0db2da,True,True,,True,reused
STR_017,main_factorial,17,stress_N0100_A080_C050_DH_O090_S20268017,100,0.8,0.5,H,0.9,20268017,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_017\instances\stress_N0100_A080_C050_DH_O090_S20268017,8c37a44489c52959eba8c2e136b67223b797baabbb8f030cad6b9403756646c9,8c37a44489c52959eba8c2e136b67223b797baabbb8f030cad6b9403756646c9,True,True,,True,reused
STR_018,main_factorial,18,stress_N0100_A080_C050_DH_O110_S20268018,100,0.8,0.5,H,1.1,20268018,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_018\instances\stress_N0100_A080_C050_DH_O110_S20268018,71a4f10bc26adbfed36e7b48419c82afac9498efaa4696b1d174a059f9c3c90b,71a4f10bc26adbfed36e7b48419c82afac9498efaa4696b1d174a059f9c3c90b,True,True,,True,reused
STR_019,main_factorial,19,stress_N0100_A080_C080_DL_O090_S20268019,100,0.8,0.8,L,0.9,20268019,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_019\instances\stress_N0100_A080_C080_DL_O090_S20268019,df22ac27583a53e13d50368a74668560d3e8ad6fa7691e385e81fa9204c16296,df22ac27583a53e13d50368a74668560d3e8ad6fa7691e385e81fa9204c16296,True,True,,True,reused
STR_020,main_factorial,20,stress_N0100_A080_C080_DL_O110_S20268020,100,0.8,0.8,L,1.1,20268020,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_020\instances\stress_N0100_A080_C080_DL_O110_S20268020,433e26191579381757ad3815481b98a543defb3263be1e2bb9b07a911cabd347,433e26191579381757ad3815481b98a543defb3263be1e2bb9b07a911cabd347,True,True,,True,reused
STR_021,main_factorial,21,stress_N0100_A080_C080_DM_O090_S20268021,100,0.8,0.8,M,0.9,20268021,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_021\instances\stress_N0100_A080_C080_DM_O090_S20268021,e8ad0b992774051269eefa39d4cf2f6076ad709d7598536263d225d1159ded06,e8ad0b992774051269eefa39d4cf2f6076ad709d7598536263d225d1159ded06,True,True,,True,reused
STR_022,main_factorial,22,stress_N0100_A080_C080_DM_O110_S20268022,100,0.8,0.8,M,1.1,20268022,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_022\instances\stress_N0100_A080_C080_DM_O110_S20268022,56d2c8228919c1abd5377ec218422837c54e236a0c1c5acd036b8368a08ecd16,56d2c8228919c1abd5377ec218422837c54e236a0c1c5acd036b8368a08ecd16,True,True,,True,reused
STR_023,main_factorial,23,stress_N0100_A080_C080_DH_O090_S20268023,100,0.8,0.8,H,0.9,20268023,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_023\instances\stress_N0100_A080_C080_DH_O090_S20268023,46558003945a6c27f85736cb6ba1f8cb9fcf48c4252da002f1e783979eba7c72,46558003945a6c27f85736cb6ba1f8cb9fcf48c4252da002f1e783979eba7c72,True,True,,True,reused
STR_024,main_factorial,24,stress_N0100_A080_C080_DH_O110_S20268024,100,0.8,0.8,H,1.1,20268024,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_024\instances\stress_N0100_A080_C080_DH_O110_S20268024,08bc2e8006d614355b2f7e1a7fd1e23fb413526f78661036fcf29fd9831e109d,08bc2e8006d614355b2f7e1a7fd1e23fb413526f78661036fcf29fd9831e109d,True,True,,True,reused
STR_025,main_factorial,25,stress_N0100_A100_C050_DL_O090_S20268025,100,1.0,0.5,L,0.9,20268025,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_025\instances\stress_N0100_A100_C050_DL_O090_S20268025,14c9977fb2ee688d6e32e5513d7059aa0204860a108abd3bc80b9ee7bb18e40e,14c9977fb2ee688d6e32e5513d7059aa0204860a108abd3bc80b9ee7bb18e40e,True,True,,True,reused
STR_026,main_factorial,26,stress_N0100_A100_C050_DL_O110_S20268026,100,1.0,0.5,L,1.1,20268026,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_026\instances\stress_N0100_A100_C050_DL_O110_S20268026,2b64426505e3378176e6de38ac6e9b499416d751118f5ab405792cb5bd723a59,2b64426505e3378176e6de38ac6e9b499416d751118f5ab405792cb5bd723a59,True,True,,True,reused
STR_027,main_factorial,27,stress_N0100_A100_C050_DM_O090_S20268027,100,1.0,0.5,M,0.9,20268027,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_027\instances\stress_N0100_A100_C050_DM_O090_S20268027,e85dffe9c5cb6548d308da83752ab61635017adef54667ca7feeebf66fe3dba0,e85dffe9c5cb6548d308da83752ab61635017adef54667ca7feeebf66fe3dba0,True,True,,True,reused
STR_028,main_factorial,28,stress_N0100_A100_C050_DM_O110_S20268028,100,1.0,0.5,M,1.1,20268028,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_028\instances\stress_N0100_A100_C050_DM_O110_S20268028,3b54815f4ac2bcb8ffd47bd7e691d38bc1b9d5fc2625999e2f6d0c03e45d7c55,3b54815f4ac2bcb8ffd47bd7e691d38bc1b9d5fc2625999e2f6d0c03e45d7c55,True,True,,True,reused
STR_029,main_factorial,29,stress_N0100_A100_C050_DH_O090_S20268029,100,1.0,0.5,H,0.9,20268029,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_029\instances\stress_N0100_A100_C050_DH_O090_S20268029,31da172f311bafc5e399351e350c06ef162f66b5e366fed089a50946fefff147,31da172f311bafc5e399351e350c06ef162f66b5e366fed089a50946fefff147,True,True,,True,reused
STR_030,main_factorial,30,stress_N0100_A100_C050_DH_O110_S20268030,100,1.0,0.5,H,1.1,20268030,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_030\instances\stress_N0100_A100_C050_DH_O110_S20268030,02701aa998ad30b9010f13c064818405395ebf59a585f52105a2c5c92b152279,02701aa998ad30b9010f13c064818405395ebf59a585f52105a2c5c92b152279,True,True,,True,reused
STR_031,main_factorial,31,stress_N0100_A100_C080_DL_O090_S20268031,100,1.0,0.8,L,0.9,20268031,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_031\instances\stress_N0100_A100_C080_DL_O090_S20268031,d4a9e8d8aa9d74c5bc86ee9e1d49bd3e685ea41b8e8817f5cddf29bb8def9058,d4a9e8d8aa9d74c5bc86ee9e1d49bd3e685ea41b8e8817f5cddf29bb8def9058,True,True,,True,reused
STR_032,main_factorial,32,stress_N0100_A100_C080_DL_O110_S20268032,100,1.0,0.8,L,1.1,20268032,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_032\instances\stress_N0100_A100_C080_DL_O110_S20268032,07d40e562dcaf1ff2924b12e5cda9a50e99503289a7516669a6402f076a50e8b,07d40e562dcaf1ff2924b12e5cda9a50e99503289a7516669a6402f076a50e8b,True,True,,True,reused
STR_033,main_factorial,33,stress_N0100_A100_C080_DM_O090_S20268033,100,1.0,0.8,M,0.9,20268033,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_033\instances\stress_N0100_A100_C080_DM_O090_S20268033,9b8b66e75e078163fd176d6883e6c0714fd25fd2a03bd8265c66647b1748f5f4,9b8b66e75e078163fd176d6883e6c0714fd25fd2a03bd8265c66647b1748f5f4,True,True,,True,reused
STR_034,main_factorial,34,stress_N0100_A100_C080_DM_O110_S20268034,100,1.0,0.8,M,1.1,20268034,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_034\instances\stress_N0100_A100_C080_DM_O110_S20268034,e6c7edb395ae9b3c70c8f03ab457003a05b88545952672a70ec161290e99baac,e6c7edb395ae9b3c70c8f03ab457003a05b88545952672a70ec161290e99baac,True,True,,True,reused
STR_035,main_factorial,35,stress_N0100_A100_C080_DH_O090_S20268035,100,1.0,0.8,H,0.9,20268035,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_035\instances\stress_N0100_A100_C080_DH_O090_S20268035,d86ad6524c1b7015c9c27aab4f03a66056ebe9a12cb4d849b773bc5fe089dc6d,d86ad6524c1b7015c9c27aab4f03a66056ebe9a12cb4d849b773bc5fe089dc6d,True,True,,True,reused
STR_036,main_factorial,36,stress_N0100_A100_C080_DH_O110_S20268036,100,1.0,0.8,H,1.1,20268036,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_036\instances\stress_N0100_A100_C080_DH_O110_S20268036,2f652385935905e67f7b0d66ff62f67eadd18672b7705b7db61cfaff1517821c,2f652385935905e67f7b0d66ff62f67eadd18672b7705b7db61cfaff1517821c,True,True,,True,reused
STR_037,main_factorial,37,stress_N0200_A050_C050_DL_O090_S20268037,200,0.5,0.5,L,0.9,20268037,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_037\instances\stress_N0200_A050_C050_DL_O090_S20268037,2afe016d0781fae28099b75dc139bddfff3d303b25daeaf5b3fcbe67cb6374df,2afe016d0781fae28099b75dc139bddfff3d303b25daeaf5b3fcbe67cb6374df,True,True,,True,reused
STR_038,main_factorial,38,stress_N0200_A050_C050_DL_O110_S20268038,200,0.5,0.5,L,1.1,20268038,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_038\instances\stress_N0200_A050_C050_DL_O110_S20268038,eb64f32c5de068f2af02a20ab9ce289be229d60842e0924ab376faf6be1b9457,eb64f32c5de068f2af02a20ab9ce289be229d60842e0924ab376faf6be1b9457,True,True,,True,reused
STR_039,main_factorial,39,stress_N0200_A050_C050_DM_O090_S20268039,200,0.5,0.5,M,0.9,20268039,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_039\instances\stress_N0200_A050_C050_DM_O090_S20268039,616cb1dddc411d419b09105a2b5322afcba17fa4d0a292578ea704a7616f4ae2,616cb1dddc411d419b09105a2b5322afcba17fa4d0a292578ea704a7616f4ae2,True,True,,True,reused
STR_040,main_factorial,40,stress_N0200_A050_C050_DM_O110_S20268040,200,0.5,0.5,M,1.1,20268040,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_040\instances\stress_N0200_A050_C050_DM_O110_S20268040,59b4cb36c52eba9af3e114d05a71c8e10f7d4459a7b516a614ecb1c1cdc02478,59b4cb36c52eba9af3e114d05a71c8e10f7d4459a7b516a614ecb1c1cdc02478,True,True,,True,reused
STR_041,main_factorial,41,stress_N0200_A050_C050_DH_O090_S20268041,200,0.5,0.5,H,0.9,20268041,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_041\instances\stress_N0200_A050_C050_DH_O090_S20268041,f8776d2101a895a26e19355740382b1c1c8680097d5eadb83dd70d935c2673a2,f8776d2101a895a26e19355740382b1c1c8680097d5eadb83dd70d935c2673a2,True,True,,True,reused
STR_042,main_factorial,42,stress_N0200_A050_C050_DH_O110_S20268042,200,0.5,0.5,H,1.1,20268042,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_042\instances\stress_N0200_A050_C050_DH_O110_S20268042,05955c7fb221adce885f5508c64f574a410ed6ca1b8a14717bad7c0b8898be74,05955c7fb221adce885f5508c64f574a410ed6ca1b8a14717bad7c0b8898be74,True,True,,True,reused
STR_043,main_factorial,43,stress_N0200_A050_C080_DL_O090_S20268043,200,0.5,0.8,L,0.9,20268043,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_043\instances\stress_N0200_A050_C080_DL_O090_S20268043,f22422f1950ae604feac49767650af57db91c1b76db369ed3c8f1e491744e514,f22422f1950ae604feac49767650af57db91c1b76db369ed3c8f1e491744e514,True,True,,True,reused
STR_044,main_factorial,44,stress_N0200_A050_C080_DL_O110_S20268044,200,0.5,0.8,L,1.1,20268044,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_044\instances\stress_N0200_A050_C080_DL_O110_S20268044,e880c684f550a530b305d336b2d3dbf709b673812c5fe80a9a0c613eaf970572,e880c684f550a530b305d336b2d3dbf709b673812c5fe80a9a0c613eaf970572,True,True,,True,reused
STR_045,main_factorial,45,stress_N0200_A050_C080_DM_O090_S20268045,200,0.5,0.8,M,0.9,20268045,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_045\instances\stress_N0200_A050_C080_DM_O090_S20268045,4c46b7adf857c56ca845f07c25aef2f87c511b3aeaee82351a7339d13fe45b14,4c46b7adf857c56ca845f07c25aef2f87c511b3aeaee82351a7339d13fe45b14,True,True,,True,reused
STR_046,main_factorial,46,stress_N0200_A050_C080_DM_O110_S20268046,200,0.5,0.8,M,1.1,20268046,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_046\instances\stress_N0200_A050_C080_DM_O110_S20268046,c3c887e925d34eb37a13a1d7fd6d12f9bbbed52a7c244b02f2eab5d46494481a,c3c887e925d34eb37a13a1d7fd6d12f9bbbed52a7c244b02f2eab5d46494481a,True,True,,True,reused
STR_047,main_factorial,47,stress_N0200_A050_C080_DH_O090_S20268047,200,0.5,0.8,H,0.9,20268047,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_047\instances\stress_N0200_A050_C080_DH_O090_S20268047,69aba56ca387cb2b0c113896912fd6ebf55880e78d771c49b3820aeb91663244,69aba56ca387cb2b0c113896912fd6ebf55880e78d771c49b3820aeb91663244,True,True,,True,reused
STR_048,main_factorial,48,stress_N0200_A050_C080_DH_O110_S20268048,200,0.5,0.8,H,1.1,20268048,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_048\instances\stress_N0200_A050_C080_DH_O110_S20268048,78133da7f35b0d5d6e7246a1d04905c77852bc086d2a5991349a2c4720ee555e,78133da7f35b0d5d6e7246a1d04905c77852bc086d2a5991349a2c4720ee555e,True,True,,True,reused
STR_049,main_factorial,49,stress_N0200_A080_C050_DL_O090_S20268049,200,0.8,0.5,L,0.9,20268049,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_049\instances\stress_N0200_A080_C050_DL_O090_S20268049,170b4513de312f2aea00aa53c9e3c14ba923ee363fac1a45db0adc3082841e11,170b4513de312f2aea00aa53c9e3c14ba923ee363fac1a45db0adc3082841e11,True,True,,True,reused
STR_050,main_factorial,50,stress_N0200_A080_C050_DL_O110_S20268050,200,0.8,0.5,L,1.1,20268050,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_050\instances\stress_N0200_A080_C050_DL_O110_S20268050,7f61d37da3ff91ef8e7765ec93da79f04b4dd23beee6434f7e79c458617d9966,7f61d37da3ff91ef8e7765ec93da79f04b4dd23beee6434f7e79c458617d9966,True,True,,True,reused
STR_051,main_factorial,51,stress_N0200_A080_C050_DM_O090_S20268051,200,0.8,0.5,M,0.9,20268051,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_051\instances\stress_N0200_A080_C050_DM_O090_S20268051,e5843845cac5aea598fa3dacd53bfa90b3eea8227b03d4ac85e9fd404289fdf9,e5843845cac5aea598fa3dacd53bfa90b3eea8227b03d4ac85e9fd404289fdf9,True,True,,True,reused
STR_052,main_factorial,52,stress_N0200_A080_C050_DM_O110_S20268052,200,0.8,0.5,M,1.1,20268052,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_052\instances\stress_N0200_A080_C050_DM_O110_S20268052,2477f0364ce5abc709af2dae12f4d47a6cb91ce8b221d7b2ab32db3dbc2585f3,2477f0364ce5abc709af2dae12f4d47a6cb91ce8b221d7b2ab32db3dbc2585f3,True,True,,True,reused
STR_053,main_factorial,53,stress_N0200_A080_C050_DH_O090_S20268053,200,0.8,0.5,H,0.9,20268053,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_053\instances\stress_N0200_A080_C050_DH_O090_S20268053,c0d76ad310f642bebff4fe9592465a5ced57b6449b5f1a036760d948568f71e1,c0d76ad310f642bebff4fe9592465a5ced57b6449b5f1a036760d948568f71e1,True,True,,True,reused
STR_054,main_factorial,54,stress_N0200_A080_C050_DH_O110_S20268054,200,0.8,0.5,H,1.1,20268054,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_054\instances\stress_N0200_A080_C050_DH_O110_S20268054,957d4485726870e6f79205dcad860d789004ca9eb2078def9e4616ab1e029909,957d4485726870e6f79205dcad860d789004ca9eb2078def9e4616ab1e029909,True,True,,True,reused
STR_055,main_factorial,55,stress_N0200_A080_C080_DL_O090_S20268055,200,0.8,0.8,L,0.9,20268055,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_055\instances\stress_N0200_A080_C080_DL_O090_S20268055,95814e85f907a07b92e2f0118d6fd8172972ebecba402dd563b28657b4085f1c,95814e85f907a07b92e2f0118d6fd8172972ebecba402dd563b28657b4085f1c,True,True,,True,reused
STR_056,main_factorial,56,stress_N0200_A080_C080_DL_O110_S20268056,200,0.8,0.8,L,1.1,20268056,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_056\instances\stress_N0200_A080_C080_DL_O110_S20268056,21ae26a945cacd32771c797dfdc3cd825a1c409548584c16b852eb8d1cf3a435,21ae26a945cacd32771c797dfdc3cd825a1c409548584c16b852eb8d1cf3a435,True,True,,True,reused
STR_057,main_factorial,57,stress_N0200_A080_C080_DM_O090_S20268057,200,0.8,0.8,M,0.9,20268057,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_057\instances\stress_N0200_A080_C080_DM_O090_S20268057,8a04e290fb87f5b28c87278463f4ab6fe88a30b6a03ac6005a1e87d4f7d11b5a,8a04e290fb87f5b28c87278463f4ab6fe88a30b6a03ac6005a1e87d4f7d11b5a,True,True,,True,reused
STR_058,main_factorial,58,stress_N0200_A080_C080_DM_O110_S20268058,200,0.8,0.8,M,1.1,20268058,<WITHHELD_LOCAL_SOURCE>\Desktop\RCG-ED\04_STAGE_C\data_short\stage_c_structural\STR_058\instances\stress_N0200_A080_C080_DM_O110_S20268058,7c57801893248e2f222ae84935e8c5abbef69a41d200fdfa61d68f15d6ceb113,7c57801893248e2f222ae84935e8c5abbef69a41d200fdfa61d68f15d6ceb113,True,True,,True,reused
