experiment,instance_id,N,ECP_status,ECP_objective,ECP_objective_matches_reference,ECP_runtime_median_s,ECP_runtime_cv_percent,ECP_certificate_rate,ECP_validation_rate,Compact_objective,Compact_runtime_median_s,Compact_over_ECP_time,RCG_ED_objective,RCG_ED_runtime_median_s,RCG_ED_over_ECP_time,Standard_BP_status,Standard_BP_objective,Standard_BP_runtime_s,Static_RP_status,Static_RP_objective,Static_RP_runtime_s,instance_sha256,ECP_result_origin,baseline_result_origin
A0,stress_N0100_A050_C080_DH_O110_S20267701,100,CERTIFIED_OPTIMAL,823101.4958615276,True,1.1653217999992194,0.00710819965298997,1.0,1.0,823101.4958615275,2.1612392000097316,1.8546286527988916,823101.4958615275,0.930134199996246,0.7981779796764028,OPTIMAL,823101.4958615275,0.9755123999784701,FEASIBLE_RESTRICTED_POOL,947980.3689282675,0.3692031000100542,6512fd6781104977de284fa3a06fe4ab9a5db828c23bba95735eacc91008e952,new_ecp_formal_run,reused_frozen_baseline
A0,stress_N0100_A100_C050_DM_O090_S20267702,100,CERTIFIED_OPTIMAL,725191.8303947588,True,0.4318901999940863,0.9603523812385341,1.0,1.0,725191.830394759,0.9387102000182495,2.1734927072462003,725191.8303947591,0.34916620000149123,0.8084605763369306,OPTIMAL,725191.8303947593,0.4415058000013232,FEASIBLE_RESTRICTED_POOL,782983.1840301605,0.45304520000354387,10ec249e04f2988126bdb4ae8def3f27003b49e3d555bba3ffa1060f4a461a62,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0150_K053,150,CERTIFIED_OPTIMAL,1223053.373570482,True,4.092109400007757,0.5764284819312048,1.0,1.0,1223053.3735710022,5.847271399979945,1.428913752884725,1223053.3735704822,5.725809800002025,1.3992318484914337,OPTIMAL,1223053.3735704818,5.285679099994013,FEASIBLE_RESTRICTED_POOL,1397194.139635358,0.6276688999787439,2c2fef78427737981fcbd5071eac9d87635f4974a046afc88057976caba85ea0,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0150_K056,150,CERTIFIED_OPTIMAL,1342732.4962650214,True,5.374058700006572,0.19727991368057282,1.0,1.0,1342732.4962729975,7.297023399994941,1.3578235384712152,1342732.4962650214,6.718780800001696,1.2502246765547016,OPTIMAL,1342732.4962650216,7.404390699986834,FEASIBLE_RESTRICTED_POOL,1519538.4110519465,0.6244932000117842,cbc62d4daf8d462fc36d9892d08668d6523ab6dbebcf879af3af8ad4652e6051,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H01_N0200_K071,200,CERTIFIED_OPTIMAL,1644039.92387448,True,10.176358299999265,0.4400280616436809,1.0,1.0,1644039.923874753,22.237518600013573,2.185213800895275,1644039.9238744793,18.53694349998841,1.8215694606576254,OPTIMAL,1644039.9238744793,12.566991600004258,FEASIBLE_RESTRICTED_POOL,1870022.003045006,1.2043159999884665,160b6fbbdf5346d2d62ef3e87019bb43c297e413e7de993c791629d5394c052b,new_ecp_formal_run,reused_frozen_baseline
A0,formal_H02_N0200_K075,200,CERTIFIED_OPTIMAL,1767250.3227829682,True,16.148295500010136,0.8337770074436911,1.0,1.0,1767250.3227906036,37.01158459999715,2.291980884296669,1767250.322782968,21.320738499984145,1.3203089143353095,OPTIMAL,1767250.3227829684,18.285284899990074,FEASIBLE_RESTRICTED_POOL,1987461.3749532192,1.1648558000160847,22f80db62b67d33d1aeda8bb7cee9cc3b97e4391b1adcc83cdbfb87d935a72b8,new_ecp_formal_run,reused_frozen_baseline
A0,stress_N0200_A050_C050_DH_O090_S20267701,200,CERTIFIED_OPTIMAL,1439676.663209539,True,3.2191402000025846,0.4699529480707845,1.0,1.0,1439676.6115046039,6.4942931000259705,2.0173998945497176,1439676.7766897085,2.847777100017993,0.8846390411997919,OPTIMAL,1439676.6852827247,1.9329252000025008,FEASIBLE_RESTRICTED_POOL,1540431.1629042337,0.9886701999930665,9cc2e3f48b4dfb4d21ddab3dd18a8d994a4e595707e115e7dd35fb6c5ba9b037,new_ecp_formal_run,reused_frozen_baseline
A0,stress_N0200_A100_C080_DM_O110_S20267702,200,CERTIFIED_OPTIMAL,1459140.8884121059,True,9.729634999996051,0.5095791797748289,1.0,1.0,1459140.8884121059,69.5762143000029,7.150958314472345,1459140.8884121065,16.17157639999641,1.6620948678961722,OPTIMAL,1459140.888412106,13.259871899994323,FEASIBLE_RESTRICTED_POOL,1942233.4003639836,2.244799400010379,b1a8bc1fc74074410c35695883e8b51a7e290f5817aa3bd53b68c859ad07e043,new_ecp_formal_run,reused_frozen_baseline
A0,stress_N0400_A050_C050_DM_O110_S20267701,400,CERTIFIED_OPTIMAL,3087072.032259693,True,44.369690299994545,0.6984875830528701,1.0,1.0,3087073.2684397995,523.6923185000196,11.802929318622807,3087072.3680838523,32.29411460002302,0.7278417852744623,OPTIMAL,3087072.297270458,23.08034429998952,FEASIBLE_RESTRICTED_POOL,3625695.8282590965,5.338417100021616,351b83a4ba1ef14e15eecece4138f583396427530894d4e821b70dcb9d87922d,new_ecp_formal_run,reused_frozen_baseline
A0,stress_N0400_A100_C080_DL_O090_S20267702,400,CERTIFIED_OPTIMAL,2785012.3423994803,True,28.91256740000972,0.42791457797073895,1.0,1.0,2785012.34239948,303.60341330000665,10.500742085599239,2785012.3423994794,53.016367900010664,1.833679007696592,OPTIMAL,2785012.3423994808,56.89513099999749,FEASIBLE_RESTRICTED_POOL,3197035.6665636026,8.000785900017945,a45bc2dfbef9f8901bada83162a99390a31c630feaa7125ab0a4e6486d9dad8e,new_ecp_formal_run,reused_frozen_baseline
